field_1,lat,lng,time,population,popxtime
365,30.171600000000076,-97.623810000000290,630.000000000000000,1708.491943359375000,1076349.924316406250000
366,30.171600000000076,-97.618810000000309,528.000000000000000,1708.491943359375000,902083.746093750000000
367,30.171600000000076,-97.613810000000299,540.000000000000000,2506.072021484375000,1353278.891601562500000
368,30.171600000000076,-97.608810000000304,558.000000000000000,2506.072021484375000,1398388.187988281250000
370,30.166600000000070,-97.843810000000076,551.000000000000000,977.109313964843409,538387.231994628673419
371,30.166600000000070,-97.763810000000149,643.000000000000000,1464.286010742187500,941535.904907226562500
372,30.166600000000070,-97.633810000000281,541.000000000000000,115.286201477050781,62369.834999084472656
373,30.166600000000070,-97.623810000000290,580.000000000000000,1708.491943359375000,990925.327148437500000
374,30.166600000000070,-97.618810000000309,585.000000000000000,1708.491943359375000,999467.786865234375000
375,30.161600000000071,-97.848810000000071,536.000000000000000,946.194213867187614,507160.098632812558208
378,30.161600000000071,-97.833810000000099,564.000000000000000,1269.620971679687500,716066.228027343750000
380,30.161600000000071,-97.788810000000140,585.000000000000000,657.089172363281250,384397.165832519531250
381,30.161600000000071,-97.783810000000130,556.000000000000000,657.089172363281250,365341.579833984375000
382,30.161600000000071,-97.778810000000149,524.000000000000000,1625.046997070312500,851524.626464843750000
383,30.156600000000072,-97.853810000000081,537.000000000000000,1970.963012695312500,1058407.137817382812500
384,30.156600000000072,-97.848810000000071,625.000000000000000,2328.626953125000000,1455391.845703125000000
385,30.156600000000072,-97.843810000000076,632.000000000000000,2328.626953125000000,1471692.234375000000000
386,30.156600000000072,-97.838810000000095,619.000000000000000,2506.325927734375000,1551415.749267578125000
387,30.156600000000072,-97.833810000000099,538.000000000000000,2506.325927734375000,1348403.349121093750000
388,30.156600000000072,-97.828810000000075,561.000000000000000,2053.269042968750000,1151883.933105468750000
389,30.156600000000072,-97.813810000000132,500.000000000000000,1508.869995117187500,754434.997558593750000
390,30.151600000000077,-97.858810000000076,541.000000000000000,866.690917968750000,468879.786621093750000
391,30.151600000000077,-97.853810000000081,616.000000000000000,1970.963012695312500,1214113.215820312500000
